stat,stat_lab,Søren Damsbo-Svendsen,Frederik K. Kjøller,Christoffer H. Dausgaard
n_articles,No. Articles,9,9,9
total_cites,Total Citations,79,70,8
h_index,h-index,4,3,2
i10_index,i10-index,3,1,0
effective_cites,Effective Citations Index™️,62,20.916666666666664,5.5
first_author,Pivotal Contributor Index™️,88.88888888888889,55.55555555555556,77.77777777777777
single_author,Pioneer Index™️,44.44444444444444,22.22222222222222,44.44444444444444
