stat,stat_lab,Søren Damsbo-Svendsen,Frederik K. Kjøller,Christoffer H. Dausgaard
n_articles,No. Articles,9,6,8
total_cites,Total Citations,57,52,2
h_index,h-index,3,3,1
i10_index,i10-index,2,1,0
effective_cites,Effective Citations Index™️,44,14.583333333333334,1
first_author,Pivotal Contributor Index™️,88.88888888888889,50,75
single_author,Pioneer Index™️,44.44444444444444,16.666666666666668,50
