stat,stat_lab,Søren Damsbo-Svendsen,Frederik K. Kjøller,Christoffer H. Dausgaard
n_articles,No. Articles,9,6,9
total_cites,Total Citations,59,54,2
h_index,h-index,3,3,1
i10_index,i10-index,2,1,0
effective_cites,Effective Citations Index™️,45,15.166666666666666,1
first_author,Pivotal Contributor Index™️,88.88888888888889,50,77.77777777777777
single_author,Pioneer Index™️,44.44444444444444,16.666666666666668,44.44444444444444
